feature,importance
volume_vs_ma20,0.06105325295437659
sentiment_lag_1,0.06094143277054371
price_change_3d,0.056455360226355306
close_normalized_vs_lag1,0.05560891503462323
close_lag_5,0.055443129491235484
close_lag_1,0.050573618683910804
close_vs_ma10,0.05045743203967703
price_change_1d,0.04878967484613872
sentiment_lag_3,0.04519957408868712
volume_ma_20,0.0405336240467713
close_vs_ma5,0.039625800423574206
high_low_spread,0.03914026935055683
volume_ma_5,0.038945776377372315
close_lag_2,0.037433462831935285
volume_vs_ma5,0.035163143867762925
close_vs_ma20,0.03392109468564836
price_change_5d,0.03267037189454048
volume_lag_1,0.0310565539397937
volume_normalized_vs_lag1,0.030520809123557716
ma_20,0.029714880834655417
ma_10,0.029591522234289108
close_lag_3,0.027102272058488135
close_normalized_vs_lag5,0.026802485260666135
ma_5,0.02381774428623344
volume_change_1d,0.019437798648606393
