feature,importance
volume_vs_ma20,0.07059597594302379
close_vs_ma10,0.06174890552193169
close_lag_1,0.053305406333453334
volume_vs_ma5,0.05269057346519845
volume_ma_20,0.04763824137983563
close_vs_ma20,0.04714431488865735
close_normalized_vs_lag1,0.04601844529313618
volume_normalized_vs_lag1,0.041263751070845234
price_change_5d,0.04121095112482348
sentiment_lag_3,0.040816617068417174
price_change_3d,0.04071758315410948
volume_ma_5,0.03931839572555735
ma_10,0.03851092894962207
ma_20,0.03832512424624731
close_normalized_vs_lag5,0.03729128819395585
volume_lag_1,0.03530575927475288
close_vs_ma5,0.03521915588466467
close_lag_2,0.034034508953971525
sentiment_lag_1,0.03359576552302184
price_change_1d,0.03181541124384451
volume_change_1d,0.029079246340514682
high_low_spread,0.02901093501361316
close_lag_5,0.027976599557355507
ma_5,0.027415618672217278
close_lag_3,0.019950497177229406
