feature,importance
close_vs_ma5,0.06341838009495379
sentiment_lag_1,0.055935464052660935
price_change_3d,0.0531253520843191
close_vs_ma20,0.05173367085974746
high_low_spread,0.0513924929188077
sentiment_lag_3,0.04848630692088931
close_normalized_vs_lag1,0.046068687395526116
volume_vs_ma5,0.04587116822150022
volume_vs_ma20,0.04471787973246176
close_vs_ma10,0.04356922864790741
volume_normalized_vs_lag1,0.04149204314804949
price_change_5d,0.04137590601392516
volume_change_1d,0.03915279654005811
volume_ma_20,0.037077216305338626
volume_ma_5,0.0351670156672173
price_change_1d,0.03480277062049619
volume_lag_1,0.03433815563421319
close_normalized_vs_lag5,0.034317749115183385
close_lag_1,0.03362285741068179
close_lag_2,0.03149200899182849
close_lag_3,0.0288482910729771
ma_10,0.027303934220737593
close_lag_5,0.026840148110295288
ma_20,0.025245455061138792
ma_5,0.02460502115908572
