,mae,mse,r2,sample_count
AAPL,0.009419945348458872,0.0001343043531719371,-0.24329488758060624,58.0
BABA,0.024106201730854992,0.0011130382108374256,-0.2601860290848703,343.0
GOOG,0.01245984529935442,0.00028031114135269164,-0.15790439520007316,183.0
NVDA,0.026520981118069945,0.0016570513562382818,-2.010527372629383,88.0
TSLA,0.020564582999877998,0.000715933249771008,0.25583426634508577,61.0
